depth	ratio(N/Ti)
2.07e-07	0.956818
2.072e-07	0.956817
2.074e-07	0.956817
2.076e-07	0.956816
2.078e-07	0.956815
2.08e-07	0.956815
2.082e-07	0.956814
2.084e-07	0.956813
2.086e-07	0.956812
2.088e-07	0.956812
2.09e-07	0.956811
2.092e-07	0.95681
2.094e-07	0.95681
2.096e-07	0.956809
2.098e-07	0.956808
2.1e-07	0.956808
2.102e-07	0.956807
2.104e-07	0.956806
2.106e-07	0.956806
2.108e-07	0.956805
2.11e-07	0.956804
2.112e-07	0.956804
2.114e-07	0.956803
2.116e-07	0.956802
2.118e-07	0.956802
2.12e-07	0.956801
2.122e-07	0.9568
2.124e-07	0.956799
2.126e-07	0.956799
2.128e-07	0.956798
2.13e-07	0.956797
2.132e-07	0.956797
2.134e-07	0.956796
2.136e-07	0.956795
2.138e-07	0.956795
2.14e-07	0.956794
2.142e-07	0.956793
2.144e-07	0.956792
2.146e-07	0.956792
2.148e-07	0.956791
2.15e-07	0.95679
2.152e-07	0.95679
2.154e-07	0.956789
2.156e-07	0.956788
2.158e-07	0.956787
2.16e-07	0.956787
2.162e-07	0.956786
2.164e-07	0.956785
2.166e-07	0.956785
2.168e-07	0.956784
2.17e-07	0.956783
2.172e-07	0.956783
2.174e-07	0.956782
2.176e-07	0.956781
2.178e-07	0.95678
2.18e-07	0.95678
2.182e-07	0.956779
2.184e-07	0.956778
2.186e-07	0.956778
2.188e-07	0.956777
2.19e-07	0.956776
2.192e-07	0.956775
2.194e-07	0.956775
2.196e-07	0.956774
2.198e-07	0.956773
2.2e-07	0.956772
2.202e-07	0.956772
2.204e-07	0.956771
2.206e-07	0.95677
2.208e-07	0.95677
2.21e-07	0.956769
2.212e-07	0.956768
2.214e-07	0.956767
2.216e-07	0.956767
2.218e-07	0.956766
2.22e-07	0.956765
2.222e-07	0.956764
2.224e-07	0.956764
2.226e-07	0.956763
2.228e-07	0.956762
2.23e-07	0.956761
2.232e-07	0.956761
2.234e-07	0.95676
2.236e-07	0.956759
2.238e-07	0.956759
2.24e-07	0.956758
2.242e-07	0.956757
2.244e-07	0.956756
2.246e-07	0.956756
2.248e-07	0.956755
2.25e-07	0.956754
2.252e-07	0.956753
2.254e-07	0.956753
2.256e-07	0.956752
2.258e-07	0.956751
2.26e-07	0.95675
2.262e-07	0.95675
2.264e-07	0.956749
2.266e-07	0.956748
2.268e-07	0.956747
2.27e-07	0.956747
2.272e-07	0.956746
2.274e-07	0.956745
2.276e-07	0.956744
2.278e-07	0.956744
2.28e-07	0.956743
2.282e-07	0.956742
2.284e-07	0.956741
2.286e-07	0.956741
2.288e-07	0.95674
2.29e-07	0.956739
2.292e-07	0.956738
2.294e-07	0.956738
2.296e-07	0.956737
2.298e-07	0.956736
2.3e-07	0.956735
2.302e-07	0.956734
2.304e-07	0.956734
2.306e-07	0.956733
2.308e-07	0.956732
2.31e-07	0.956731
2.312e-07	0.956731
2.314e-07	0.95673
2.316e-07	0.956729
2.318e-07	0.956728
2.32e-07	0.956728
2.322e-07	0.956727
2.324e-07	0.956726
2.326e-07	0.956725
2.328e-07	0.956724
